Accession,Organism_Name,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Nuc_Completeness,Geo_Location,Country,Host,Isolation_Source,Collection_Date
OQ919511,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Baimba,F., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Siddle,K.J., Schieffelin,J., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S., Schefflien,J.S.","Kenema Government Hospital, Viral Hemorrhagic Fever (Vhf) Laborarory",Sierra Leone,2023-07-08,G-24650-1-2,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,,,2021-03-12
OQ919512,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Baimba,F., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Siddle,K.J., Schieffelin,J., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S., Schefflien,J.S.","Kenema Government Hospital, Viral Hemorrhagic Fever (Vhf) Laborarory",Sierra Leone,2023-07-08,G-7821-5-2,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,,,2018-01-28
OQ919513,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Baimba,F., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Siddle,K.J., Schieffelin,J., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S., Schefflien,J.S.","Kenema Government Hospital, Viral Hemorrhagic Fever (Vhf) Laborarory",Sierra Leone,2023-07-08,G-7601-4-2,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,,,2017-04-09
OQ919514,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Baimba,F., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Siddle,K.J., Schieffelin,J., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S., Schefflien,J.S.","Kenema Government Hospital, Viral Hemorrhagic Fever (Vhf) Laborarory",Sierra Leone,2023-07-08,G-7661-1-2,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,,,2017-08-03
OQ919515,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Baimba,F., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Siddle,K.J., Schieffelin,J., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S., Schefflien,J.S.","Kenema Government Hospital, Viral Hemorrhagic Fever (Vhf) Laborarory",Sierra Leone,2023-07-08,G-8410-1-2,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,,,2019-12-26
OQ919516,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Baimba,F., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Siddle,K.J., Schieffelin,J., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S., Schefflien,J.S.","Kenema Government Hospital, Viral Hemorrhagic Fever (Vhf) Laborarory",Sierra Leone,2023-07-08,G-7823-2-2,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,,,2018-01-30
OQ919517,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Baimba,F., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Siddle,K.J., Schieffelin,J., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S., Schefflien,J.S.","Kenema Government Hospital, Viral Hemorrhagic Fever (Vhf) Laborarory",Sierra Leone,2023-07-08,G-27653-1-2,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,,,2022-05-28
OQ919518,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Baimba,F., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Siddle,K.J., Schieffelin,J., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S., Schefflien,J.S.","Kenema Government Hospital, Viral Hemorrhagic Fever (Vhf) Laborarory",Sierra Leone,2023-07-08,G-8439-1-2,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,,,2020-01-14
OQ919519,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Baimba,F., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Siddle,K.J., Schieffelin,J., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S., Schefflien,J.S.","Kenema Government Hospital, Viral Hemorrhagic Fever (Vhf) Laborarory",Sierra Leone,2023-07-08,G-27671-1-2,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,,,2022-06-09
OQ919520,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Baimba,F., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Siddle,K.J., Schieffelin,J., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S., Schefflien,J.S.","Kenema Government Hospital, Viral Hemorrhagic Fever (Vhf) Laborarory",Sierra Leone,2023-07-08,G-20573-1-2,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,,,2020-12-18
OQ556910,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,partial,Nigeria: Ebudin,Nigeria,Mastomys natalensis,blood,2014-07-22
OQ556911,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,partial,Nigeria: Ebudin,Nigeria,Mastomys natalensis,blood,2014-07-22
OQ556912,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,partial,Nigeria: Okhuesan,Nigeria,Mastomys natalensis,blood,2014-07-24
OQ556913,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,partial,Nigeria: Ekpoma,Nigeria,Mastomys erythroleucus,blood,2014-10-18
OQ556914,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,partial,Nigeria: Ekpoma,Nigeria,Mastomys natalensis,blood,2015-01-22
OQ556915,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,partial,Nigeria: Ebudin,Nigeria,Mastomys natalensis,blood,2014-01-24
OQ556916,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,partial,Nigeria: Ebudin,Nigeria,Mastomys natalensis,blood,2014-01-24
OQ556917,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,partial,Nigeria: Ebudin,Nigeria,Mastomys natalensis,blood,2014-01-24
OQ556918,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,partial,Nigeria: Ebudin,Nigeria,Mastomys natalensis,blood,2014-01-25
OQ556919,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,partial,Nigeria: Ebudin,Nigeria,Mastomys natalensis,blood,2014-01-26
OQ556920,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,partial,Nigeria: Ebudin,Nigeria,Mastomys natalensis,blood,2014-01-26
OQ556921,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,partial,Nigeria: Ebudin,Nigeria,Mastomys natalensis,blood,2015-04-06
OQ556922,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,partial,Nigeria: Ebudin,Nigeria,Mastomys natalensis,blood,2015-04-06
OQ556923,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,partial,Nigeria: Ebudin,Nigeria,Mastomys natalensis,blood,2015-07-20
OQ556924,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,partial,Nigeria: Ebudin,Nigeria,Mastomys natalensis,blood,2015-07-21
OQ556925,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,partial,Nigeria: Ebudin,Nigeria,Mastomys natalensis,blood,2015-10-16
OQ556926,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,partial,Nigeria: Ebudin,Nigeria,Mastomys natalensis,blood,2015-10-17
OQ556927,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,partial,Nigeria: Ebudin,Nigeria,Mastomys erythroleucus,blood,2015-10-17
OQ556928,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,partial,Nigeria: Ebudin,Nigeria,Mastomys erythroleucus,blood,2015-10-17
OQ556929,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,partial,Nigeria: Ebudin,Nigeria,Mastomys natalensis,blood,2015-10-17
OQ556930,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,partial,Nigeria: Ebudin,Nigeria,Mastomys erythroleucus,blood,2015-10-18
OQ556931,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,partial,Nigeria: Ebudin,Nigeria,Mastomys erythroleucus,blood,2015-10-18
OQ556932,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,partial,Nigeria: Ebudin,Nigeria,Mastomys natalensis,blood,2015-10-18
OQ556933,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,partial,Nigeria: Okeluse,Nigeria,Mastomys natalensis,blood,2015-10-19
OQ556934,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,partial,Nigeria: Okeluse,Nigeria,Mastomys natalensis,blood,2015-10-19
OQ556935,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,partial,Nigeria: Okeluse,Nigeria,Mastomys natalensis,blood,2015-10-19
OQ556936,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,partial,Nigeria: Okeluse,Nigeria,Mastomys natalensis,blood,2015-10-19
OQ556937,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,partial,Nigeria: Okeluse,Nigeria,Mastomys natalensis,blood,2015-10-19
OQ556938,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,partial,Nigeria: Okeluse,Nigeria,Mastomys natalensis,blood,2015-10-19
OQ556939,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,partial,Nigeria: Okeluse,Nigeria,Mastomys natalensis,blood,2015-10-19
OQ556940,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,partial,Nigeria: Okeluse,Nigeria,Mastomys natalensis,blood,2015-10-19
OQ556941,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,partial,Nigeria: Okeluse,Nigeria,Mastomys natalensis,blood,2015-10-19
OQ556942,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,partial,Nigeria: Okeluse,Nigeria,Mastomys natalensis,blood,2015-10-20
OQ556943,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,partial,Nigeria: Okeluse,Nigeria,Mastomys natalensis,blood,2015-10-20
OQ556944,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,partial,Nigeria: Okeluse,Nigeria,Mastomys natalensis,blood,2015-10-20
OQ556945,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,partial,Nigeria: Okeluse,Nigeria,Mastomys natalensis,blood,2015-10-20
OQ556946,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,partial,Nigeria: Okeluse,Nigeria,Mastomys natalensis,blood,2015-10-20
OQ556947,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,partial,Nigeria: Okeluse,Nigeria,Mastomys natalensis,blood,2015-10-20
OQ556948,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,partial,Nigeria: Okeluse,Nigeria,Mastomys natalensis,blood,2015-10-20
OQ556949,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,partial,Nigeria: Okeluse,Nigeria,Mastomys natalensis,blood,2015-10-20
OQ556950,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,partial,Nigeria: Okeluse,Nigeria,Mastomys natalensis,blood,2015-10-20
